suite,sim_id,halo_mass,log_halo,truth_s,gen_s,rel_stars,ratio_stars,log_bin
CV,sim_10,37551607906304.0,13.574628537608758,642216493056.0,628602175488.0,-0.021198953491860663,1.021658082168473,"[13.5,13.8)"
CV,sim_10,30089387442176.0,13.478413346490806,2091526258688.0,1869138493440.0,-0.1063279814557539,1.1189787519910914,"[13.2,13.5)"
CV,sim_10,28296391688192.0,13.451731058498915,1478495043584.0,1209689964544.0,-0.18180992909410992,1.222209894203204,"[13.2,13.5)"
CV,sim_10,26496506789888.0,13.423188621790587,557256474624.0,522077536256.0,-0.0631288104669155,1.0673825934367536,"[13.2,13.5)"
CV,sim_10,26102758113280.0,13.416686398912688,616495710208.0,535978508288.0,-0.130604642638688,1.1502246837791774,"[13.2,13.5)"
CV,sim_10,24935206486016.0,13.396812968919573,1682708627456.0,1441221574656.0,-0.14351091380870362,1.1675572008125397,"[13.2,13.5)"
CV,sim_10,22749284139008.0,13.356967735086753,3956474380288.0,3593547022336.0,-0.09172999066041766,1.1009941864392463,"[13.2,13.5)"
CV,sim_10,20666245971968.0,13.315261594105406,1560593170432.0,1157335089152.0,-0.2584005164961545,1.3484367535900725,"[13.2,13.5)"
CV,sim_10,20580594089984.0,13.313457907174609,1006215888896.0,1014759489536.0,0.008490822629896918,0.9915806644548782,"[13.2,13.5)"
CV,sim_10,19886703116288.0,13.298562790309813,1109182513152.0,1091619979264.0,-0.01583376376723789,1.0160885053604838,"[13.2,13.5)"
CV,sim_10,19363901997056.0,13.286992875959893,3861946302464.0,3609956188160.0,-0.06524951269861655,1.0698042029237036,"[13.2,13.5)"
CV,sim_10,17131561287680.0,13.233796944268818,1206504259584.0,1170591711232.0,-0.029765786624228387,1.0306789703082755,"[13.2,13.5)"
CV,sim_10,16807386677248.0,13.225500191733289,1198337425408.0,1110991699968.0,-0.07288909082536686,1.078619602146907,"[13.2,13.5)"
CV,sim_10,15154081169408.0,13.180529609119796,1520636264448.0,1082911621120.0,-0.2878562438380993,1.4042108652184226,"[13.0,13.2)"
CV,sim_10,15477724151808.0,13.189707102278767,791811588096.0,583508557824.0,-0.2630714596800586,1.3569836765527423,"[13.0,13.2)"
CV,sim_10,14779786723328.0,13.16966816710684,1567119376384.0,1357902905344.0,-0.13350385056354158,1.154073218502319,"[13.0,13.2)"
CV,sim_10,14030765817856.0,13.147081376045625,647563771904.0,510985338880.0,-0.21091117037388477,1.2672844456229577,"[13.0,13.2)"
CV,sim_10,13561602506752.0,13.132311010970495,4426298294272.0,3812543954944.0,-0.13866086253659168,1.160982888743381,"[13.0,13.2)"
CV,sim_10,13794164080640.0,13.13969538758686,460924026880.0,398606106624.0,-0.13520215181193898,1.156339602480761,"[13.0,13.2)"
CV,sim_10,12169616818176.0,13.08527690391851,650265755648.0,486103252992.0,-0.25245447915738617,1.337711178943091,"[13.0,13.2)"
CV,sim_10,12166821314560.0,13.085177129925842,793521618944.0,688450043904.0,-0.13241173590182306,1.1526204783780238,"[13.0,13.2)"
CV,sim_10,11986405425152.0,13.078688963075848,3870217994240.0,3500938100736.0,-0.09541578641141014,1.10548026925308,"[13.0,13.2)"
CV,sim_10,11794079809536.0,13.07166406228559,701892919296.0,629751414784.0,-0.10278135386286283,1.1145555259081776,"[13.0,13.2)"
CV,sim_10,11380204765184.0,13.056150076434223,5493202354176.0,5155856056320.0,-0.06141159129147048,1.065429735464101,"[13.0,13.2)"
CV,sim_11,273441978580992.0,14.436865187871168,4533310193664.0,3700609253376.0,-0.18368496853619856,1.225017256152711,"[14.2,16.0)"
CV,sim_11,187230677106688.0,14.272377007899095,3234832842752.0,3070155030528.0,-0.05090767289350941,1.053638272525827,"[14.2,16.0)"
CV,sim_11,127784412250112.0,14.106477879748489,4763590590464.0,4181319745536.0,-0.12223360380583916,1.1392552783244179,"[13.8,14.2)"
CV,sim_11,73968732078080.0,13.869048174383769,1741611991040.0,1841730682880.0,0.057486221015402135,0.9456387989999495,"[13.8,14.2)"
CV,sim_11,76129738162176.0,13.881554336099398,1539194224640.0,1261670760448.0,-0.1803043824809761,1.2199650438862955,"[13.8,14.2)"
CV,sim_11,70727902429184.0,13.849590778442424,998015303680.0,1058915614720.0,0.06102142002777029,0.9424880413571922,"[13.8,14.2)"
CV,sim_11,66353159471104.0,13.82186160705272,1894452035584.0,1653436841984.0,-0.12722158654478818,1.1457661928657643,"[13.8,14.2)"
CV,sim_11,49180181528576.0,13.691790127426557,621684326400.0,576650149888.0,-0.07243897682410673,1.0780961845249615,"[13.5,13.8)"
CV,sim_11,46511954067456.0,13.667564585542188,2027064131584.0,1855811878912.0,-0.08448289819926866,1.092278885924795,"[13.5,13.8)"
CV,sim_11,41884017754112.0,13.622048335011293,1328211820544.0,1009053466624.0,-0.24029175842546055,1.3162947895990202,"[13.5,13.8)"
CV,sim_11,40327368933376.0,13.605599888385239,1263515205632.0,1164086345728.0,-0.07869225432413099,1.0854136467358173,"[13.5,13.8)"
CV,sim_11,40432427859968.0,13.606729820347505,635059961856.0,612091559936.0,-0.03616729647523912,1.0375244545479463,"[13.5,13.8)"
CV,sim_11,37172698677248.0,13.57022409131076,1477134254080.0,1341776723968.0,-0.09163522526007929,1.1008793249235318,"[13.5,13.8)"
CV,sim_11,35405063782400.0,13.549065381107113,2434505900032.0,2102404841472.0,-0.13641415227444498,1.1579624685070071,"[13.5,13.8)"
CV,sim_11,34012160589824.0,13.531634220948725,2739568640000.0,2078172381184.0,-0.24142350337898452,1.3182586126176798,"[13.5,13.8)"
CV,sim_11,33735084867584.0,13.52808180705029,1817891307520.0,1727188828160.0,-0.04989433580808412,1.052514512531109,"[13.5,13.8)"
CV,sim_11,27782599933952.0,13.443772885178916,1752816156672.0,1438711152640.0,-0.179200198969171,1.2183238820771112,"[13.2,13.5)"
CV,sim_11,28108864356352.0,13.448843299761382,3051707170816.0,2670945894400.0,-0.12476992552145419,1.142556716410586,"[13.2,13.5)"
CV,sim_11,26701486620672.0,13.426535441633536,484090839040.0,471140728832.0,-0.026751405239730106,1.0274867134499377,"[13.2,13.5)"
CV,sim_11,25593076776960.0,13.408122499522689,431641231360.0,553438871552.0,0.2821733220625015,0.779925757924367,"[13.2,13.5)"
CV,sim_11,24340672282624.0,13.386332569152954,3306255810560.0,3210496966656.0,-0.02896292646145271,1.029826797813094,"[13.2,13.5)"
CV,sim_11,23242062430208.0,13.36627466340489,2000417456128.0,1808155803648.0,-0.09611076522604481,1.1063302465927478,"[13.2,13.5)"
CV,sim_11,21130068885504.0,13.32490091288504,632156061696.0,540218687488.0,-0.14543461619484102,1.1701854755071617,"[13.2,13.5)"
CV,sim_11,20980034437120.0,13.32180619671926,1262058602496.0,1320322596864.0,0.046165839092392434,0.9558713949860532,"[13.2,13.5)"
CV,sim_11,19873765785600.0,13.298280167308535,577252229120.0,506633846784.0,-0.12233539997525025,1.139387415160416,"[13.2,13.5)"
CV,sim_11,20411347632128.0,13.309871679379254,2122237345792.0,1722468270080.0,-0.188371520510968,1.232090821442785,"[13.2,13.5)"
CV,sim_11,19113640460288.0,13.28134341239464,1353572548608.0,932857315328.0,-0.3108183848088964,1.4509963382042763,"[13.2,13.5)"
CV,sim_11,19358644436992.0,13.2868749431508,630475325440.0,537938821120.0,-0.14677260248911414,1.1720204987759333,"[13.2,13.5)"
CV,sim_11,18434341470208.0,13.265627627921898,641289551872.0,487666352128.0,-0.23955356717656748,1.3150170174211195,"[13.2,13.5)"
CV,sim_11,18153866264576.0,13.258969131772016,432974168064.0,398626521088.0,-0.07932955245247543,1.086164981903995,"[13.2,13.5)"
CV,sim_11,18209260437504.0,13.260292307440531,377233211392.0,414343495680.0,0.09837491283193789,0.9104359434263679,"[13.2,13.5)"
CV,sim_11,16673293729792.0,13.222021401110254,3339419385856.0,2575069872128.0,-0.2288869487208995,1.2968267082773768,"[13.2,13.5)"
CV,sim_11,16132245291008.0,13.20769481683926,1491558858752.0,1360195485696.0,-0.08807119630928467,1.096576833578287,"[13.2,13.5)"
CV,sim_11,15520411680768.0,13.190903236787802,652713787392.0,587517984768.0,-0.09988421247312398,1.1109681819353063,"[13.0,13.2)"
CV,sim_11,16335266381824.0,13.213126220979376,2251108646912.0,1702450692096.0,-0.24372788739834114,1.3222753865138441,"[13.2,13.5)"
CV,sim_11,15645335879680.0,13.194384891171941,1571559571456.0,1561677791232.0,-0.0062878814163212695,1.0063276690489427,"[13.0,13.2)"
CV,sim_11,16234762469376.0,13.210445938850906,1170833932288.0,1126080315392.0,-0.038223710179413874,1.0397428285392067,"[13.2,13.5)"
CV,sim_11,15304052703232.0,13.184806452620613,2037391949824.0,1765954027520.0,-0.13322813135069478,1.1537061090345546,"[13.0,13.2)"
CV,sim_11,14925938294784.0,13.17394164187434,664836833280.0,531067633664.0,-0.2012060597726575,1.2518873136611337,"[13.0,13.2)"
CV,sim_11,13790478336000.0,13.13957933035877,806254280704.0,751560622080.0,-0.06783673579536587,1.072773449030141,"[13.0,13.2)"
CV,sim_11,12500617658368.0,13.096931472127558,1022210342912.0,877303300096.0,-0.1417585370963858,1.165173256273108,"[13.0,13.2)"
