suite,sim_id,n_halos,median_rel_stars,median_ratio_stars,median_log_halo,n_halos_above_threshold,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35
CV,sim_3,47,-0.08257462482717161,1.0900069118009907,13.24937147101885,47,0.30000001192092896,0.800000011920929,3.5999999046325684,1.0,7.400000095367432,20.0,0.04899999871850014,0.6711000204086304,0.9624000191688538,2.2699999809265137,0.30000001192092896,-2.299999952316284,8.0,0.10000000149011612,2000.0,0.05000000074505806,350.0,0.25,0.0020000000949949026,2.0,0.6000000238418579,7.999999797903001e-05,1.0,1.0,0.10000000149011612,0.20000000298023224,0.0020000000949949026,2.0,1.0,0.0,1.0,0.0,0.0013000000035390258,1.1200000047683716,2.0
CV,sim_4,51,-0.08752995899387364,1.0959263921666509,13.291915217009553,51,0.30000001192092896,0.800000011920929,3.5999999046325684,1.0,7.400000095367432,20.0,0.04899999871850014,0.6711000204086304,0.9624000191688538,2.2699999809265137,0.30000001192092896,-2.299999952316284,8.0,0.10000000149011612,2000.0,0.05000000074505806,350.0,0.25,0.0020000000949949026,2.0,0.6000000238418579,7.999999797903001e-05,1.0,1.0,0.10000000149011612,0.20000000298023224,0.0020000000949949026,2.0,1.0,0.0,1.0,0.0,0.0013000000035390258,1.1200000047683716,2.0
CV,sim_5,55,-0.06639508617530734,1.0711168987996293,13.250595245524202,55,0.30000001192092896,0.800000011920929,3.5999999046325684,1.0,7.400000095367432,20.0,0.04899999871850014,0.6711000204086304,0.9624000191688538,2.2699999809265137,0.30000001192092896,-2.299999952316284,8.0,0.10000000149011612,2000.0,0.05000000074505806,350.0,0.25,0.0020000000949949026,2.0,0.6000000238418579,7.999999797903001e-05,1.0,1.0,0.10000000149011612,0.20000000298023224,0.0020000000949949026,2.0,1.0,0.0,1.0,0.0,0.0013000000035390258,1.1200000047683716,2.0
CV,sim_6,38,-0.06735591806382801,1.0722203986065257,13.281509975148323,38,0.30000001192092896,0.800000011920929,3.5999999046325684,1.0,7.400000095367432,20.0,0.04899999871850014,0.6711000204086304,0.9624000191688538,2.2699999809265137,0.30000001192092896,-2.299999952316284,8.0,0.10000000149011612,2000.0,0.05000000074505806,350.0,0.25,0.0020000000949949026,2.0,0.6000000238418579,7.999999797903001e-05,1.0,1.0,0.10000000149011612,0.20000000298023224,0.0020000000949949026,2.0,1.0,0.0,1.0,0.0,0.0013000000035390258,1.1200000047683716,2.0
CV,sim_7,41,-0.06594529246109422,1.0706011028356681,13.344273064611158,41,0.30000001192092896,0.800000011920929,3.5999999046325684,1.0,7.400000095367432,20.0,0.04899999871850014,0.6711000204086304,0.9624000191688538,2.2699999809265137,0.30000001192092896,-2.299999952316284,8.0,0.10000000149011612,2000.0,0.05000000074505806,350.0,0.25,0.0020000000949949026,2.0,0.6000000238418579,7.999999797903001e-05,1.0,1.0,0.10000000149011612,0.20000000298023224,0.0020000000949949026,2.0,1.0,0.0,1.0,0.0,0.0013000000035390258,1.1200000047683716,2.0
CV,sim_8,61,-0.10172816907931961,1.1132487578677088,13.25842318877818,61,0.30000001192092896,0.800000011920929,3.5999999046325684,1.0,7.400000095367432,20.0,0.04899999871850014,0.6711000204086304,0.9624000191688538,2.2699999809265137,0.30000001192092896,-2.299999952316284,8.0,0.10000000149011612,2000.0,0.05000000074505806,350.0,0.25,0.0020000000949949026,2.0,0.6000000238418579,7.999999797903001e-05,1.0,1.0,0.10000000149011612,0.20000000298023224,0.0020000000949949026,2.0,1.0,0.0,1.0,0.0,0.0013000000035390258,1.1200000047683716,2.0
CV,sim_9,59,-0.08118528052983609,1.0883587069400147,13.253034481208022,59,0.30000001192092896,0.800000011920929,3.5999999046325684,1.0,7.400000095367432,20.0,0.04899999871850014,0.6711000204086304,0.9624000191688538,2.2699999809265137,0.30000001192092896,-2.299999952316284,8.0,0.10000000149011612,2000.0,0.05000000074505806,350.0,0.25,0.0020000000949949026,2.0,0.6000000238418579,7.999999797903001e-05,1.0,1.0,0.10000000149011612,0.20000000298023224,0.0020000000949949026,2.0,1.0,0.0,1.0,0.0,0.0013000000035390258,1.1200000047683716,2.0
1P,1P_p10_1,56,-0.0878409662974851,1.0963010907947897,13.327701463453785,56,0.30000001192092896,0.800000011920929,3.5999999046325684,1.0,7.400000095367432,20.0,0.04899999871850014,0.6711000204086304,0.9624000191688538,3.2100000381469727,0.30000001192092896,-2.299999952316284,8.0,0.10000000149011612,2000.0,0.05000000074505806,350.0,0.25,0.0020000000949949026,2.0,0.6000000238418579,7.999999797903001e-05,1.0,1.0,0.10000000149011612,0.20000000298023224,0.0020000000949949026,2.0,1.0,0.0,1.0,0.0,0.0013000000035390258,1.1200000047683716,2.0
1P,1P_p10_2,56,-0.12472804680277563,1.1425056848116895,13.33162894097384,56,0.30000001192092896,0.800000011920929,3.5999999046325684,1.0,7.400000095367432,20.0,0.04899999871850014,0.6711000204086304,0.9624000191688538,4.539999961853027,0.30000001192092896,-2.299999952316284,8.0,0.10000000149011612,2000.0,0.05000000074505806,350.0,0.25,0.0020000000949949026,2.0,0.6000000238418579,7.999999797903001e-05,1.0,1.0,0.10000000149011612,0.20000000298023224,0.0020000000949949026,2.0,1.0,0.0,1.0,0.0,0.0013000000035390258,1.1200000047683716,2.0
1P,1P_p10_n1,54,-0.08042312781877835,1.0874743504279616,13.332301735978483,54,0.30000001192092896,0.800000011920929,3.5999999046325684,1.0,7.400000095367432,20.0,0.04899999871850014,0.6711000204086304,0.9624000191688538,1.6050000190734863,0.30000001192092896,-2.299999952316284,8.0,0.10000000149011612,2000.0,0.05000000074505806,350.0,0.25,0.0020000000949949026,2.0,0.6000000238418579,7.999999797903001e-05,1.0,1.0,0.10000000149011612,0.20000000298023224,0.0020000000949949026,2.0,1.0,0.0,1.0,0.0,0.0013000000035390258,1.1200000047683716,2.0
1P,1P_p10_n2,54,-0.08172336996996558,1.0889965107133335,13.328967141123107,54,0.30000001192092896,0.800000011920929,3.5999999046325684,1.0,7.400000095367432,20.0,0.04899999871850014,0.6711000204086304,0.9624000191688538,1.1349999904632568,0.30000001192092896,-2.299999952316284,8.0,0.10000000149011612,2000.0,0.05000000074505806,350.0,0.25,0.0020000000949949026,2.0,0.6000000238418579,7.999999797903001e-05,1.0,1.0,0.10000000149011612,0.20000000298023224,0.0020000000949949026,2.0,1.0,0.0,1.0,0.0,0.0013000000035390258,1.1200000047683716,2.0
1P,1P_p11_1,56,-0.09876428293148015,1.1095944180765742,13.3231498526435,56,0.30000001192092896,0.800000011920929,3.5999999046325684,1.0,7.400000095367432,20.0,0.04899999871850014,0.6711000204086304,0.9624000191688538,2.2699999809265137,0.519599974155426,-2.299999952316284,8.0,0.10000000149011612,2000.0,0.05000000074505806,350.0,0.25,0.0020000000949949026,2.0,0.6000000238418579,7.999999797903001e-05,1.0,1.0,0.10000000149011612,0.20000000298023224,0.0020000000949949026,2.0,1.0,0.0,1.0,0.0,0.0013000000035390258,1.1200000047683716,2.0
1P,1P_p11_2,56,-0.04019030226965826,1.0418756013981143,13.323162163284174,56,0.30000001192092896,0.800000011920929,3.5999999046325684,1.0,7.400000095367432,20.0,0.04899999871850014,0.6711000204086304,0.9624000191688538,2.2699999809265137,0.8999999761581421,-2.299999952316284,8.0,0.10000000149011612,2000.0,0.05000000074505806,350.0,0.25,0.0020000000949949026,2.0,0.6000000238418579,7.999999797903001e-05,1.0,1.0,0.10000000149011612,0.20000000298023224,0.0020000000949949026,2.0,1.0,0.0,1.0,0.0,0.0013000000035390258,1.1200000047683716,2.0
1P,1P_p11_n1,55,-0.004803332550777329,1.004826515911763,13.324366703565396,55,0.30000001192092896,0.800000011920929,3.5999999046325684,1.0,7.400000095367432,20.0,0.04899999871850014,0.6711000204086304,0.9624000191688538,2.2699999809265137,0.17319999635219574,-2.299999952316284,8.0,0.10000000149011612,2000.0,0.05000000074505806,350.0,0.25,0.0020000000949949026,2.0,0.6000000238418579,7.999999797903001e-05,1.0,1.0,0.10000000149011612,0.20000000298023224,0.0020000000949949026,2.0,1.0,0.0,1.0,0.0,0.0013000000035390258,1.1200000047683716,2.0
1P,1P_p11_n2,57,-0.03842398601995133,1.0399593848653848,13.323911507911875,57,0.30000001192092896,0.800000011920929,3.5999999046325684,1.0,7.400000095367432,20.0,0.04899999871850014,0.6711000204086304,0.9624000191688538,2.2699999809265137,0.10000000149011612,-2.299999952316284,8.0,0.10000000149011612,2000.0,0.05000000074505806,350.0,0.25,0.0020000000949949026,2.0,0.6000000238418579,7.999999797903001e-05,1.0,1.0,0.10000000149011612,0.20000000298023224,0.0020000000949949026,2.0,1.0,0.0,1.0,0.0,0.0013000000035390258,1.1200000047683716,2.0
1P,1P_p12_1,54,0.07870500800373004,0.9270505714302759,13.319646691491531,54,0.30000001192092896,0.800000011920929,3.5999999046325684,1.0,7.400000095367432,20.0,0.04899999871850014,0.6711000204086304,0.9624000191688538,2.2699999809265137,0.30000001192092896,-2.049999952316284,8.0,0.10000000149011612,2000.0,0.05000000074505806,350.0,0.25,0.0020000000949949026,2.0,0.6000000238418579,7.999999797903001e-05,1.0,1.0,0.10000000149011612,0.20000000298023224,0.0020000000949949026,2.0,1.0,0.0,1.0,0.0,0.0013000000035390258,1.1200000047683716,2.0
